model,score_rate_with,score_rate_without,score_rate_delta,avg_reward_with,avg_reward_without,avg_reward_delta,avg_steps_with,avg_steps_without,avg_steps_delta,tokens_with,tokens_without,tokens_delta,latency_p95_ms_with,latency_p95_ms_without,latency_p95_ms_delta,timeout_rate_with,timeout_rate_without,timeout_rate_delta
DeepSeek-V3.2,0.1,0.1,0.0,0.86,0.8799999999999999,-0.019999999999999907,57.5,41.0,16.5,1068625,448418,620207,3568.6,3933.3,-364.7000000000003,0.0,0.0,0.0
Gemini-3.0-Flash,0.1,0.0,0.1,0.93,0.78,0.15000000000000002,54.5,76.3,-21.799999999999997,1152599,1169661,-17062,39477.61,30824.61,8653.0,0.08771929824561403,0.06329113924050633,0.024428159005107697
Grok-4.1-Fast-Non-Reasoning,0.0,0.0,0.0,0.78,0.76,0.020000000000000018,137.4,70.4,67.0,2176044,777002,1399042,2926.05,2614.18,311.87000000000035,0.0,0.0,0.0
gemini_2_5_flash,0.0,0.0,0.0,0.76,0.76,0.0,99.1,88.9,10.199999999999989,723002,1236779,-513777,213339.87,107500.37,105839.5,0.5960591133004927,0.10989010989010989,0.48616900341038277
gpt-5-mini,0.0,0.0,0.0,0.74,0.7300000000000001,0.009999999999999898,119.1,117.0,2.0999999999999943,1912132,1662993,249139,17886.8,10010.36,7876.439999999999,0.0,0.0,0.0
